,gamename,avg,publisher,developer,tag_common,multi,genre_common,plat_count
0,0,203.52928571428575,37,21,20,0,2,1
1,0,25.4059375,-1,-1,-1,-1,2,4
3,0,71.82271428571428,2,3,20,0,5,3
4,0,9405.545172413795,1,1,20,1,7,5
5,0,114.97618181818177,8,7,20,0,3,2
6,0,4487.715,-1,-1,-1,-1,-1,-1
7,0,611.079,-1,-1,-1,-1,-1,-1
8,0,818.5103703703704,-1,-1,-1,-1,-1,-1
9,0,133.0323076923077,-1,-1,-1,-1,-1,-1
10,0,3590.538666666667,-1,-1,-1,-1,-1,-1
11,0,826.5857692307692,-1,-1,-1,-1,-1,-1
12,0,14.112749999999997,-1,-1,-1,-1,-1,-1
13,0,2143.3325,-1,-1,-1,-1,-1,-1
14,0,427.9846153846152,2,3,8,0,-1,-1
15,0,273.2278333333333,4,5,20,0,2,6
16,0,109.39731707317075,21,2,20,0,3,3
17,0,389.6233333333333,-1,-1,-1,-1,3,3
18,0,42.55607142857142,58,1,20,0,5,4
19,0,591.9419999999998,156,3,19,0,2,3
20,0,1357.4410576923078,3,2,20,0,3,3
21,0,42149.28371428572,5,7,20,0,5,7
22,0,1364.3806250000005,2,2,20,0,2,3
23,0,5605.681851851851,1,1,20,0,-1,-1
24,0,138.7478431372549,100,2,20,0,3,3
25,0,802.754,-1,-1,-1,-1,-1,-1
26,0,3292.765774647887,7,7,20,0,3,6
27,0,6073.861052631578,-1,-1,-1,-1,-1,-1
28,0,14609.342499999999,-1,-1,-1,-1,1,1
29,0,4370.412,-1,-1,-1,-1,-1,-1
30,0,757.286842105263,-1,-1,-1,-1,1,1
31,0,1381.3519230769232,-1,-1,-1,-1,-1,-1
32,0,672.6292857142859,-1,-1,-1,-1,-1,-1
33,0,1057.4313253012044,42,1,20,0,2,1
34,0,699.8667676767678,269,10,20,1,2,3
35,0,1005.1442500000003,1,1,19,0,7,1
36,0,155.72990384615386,6,8,20,0,-1,-1
37,0,169.91644230769236,3,10,20,0,2,2
38,0,21.072980769230774,-1,-1,-1,-1,2,2
39,0,3801.913529411763,1,1,20,1,3,3
40,0,126.56567307692308,33,42,20,0,1,1
41,0,291.1866,1,1,20,0,2,1
42,0,350.32000000000016,85,9,20,0,1,4
43,0,104.21557692307691,216,45,20,0,-1,-1
44,0,24.97894230769231,216,35,20,0,-1,-1
45,0,1673.846153846154,-1,-1,-1,-1,-1,-1
46,0,513.6265555555556,1,1,20,0,2,2
47,0,3028.1846376811586,61,76,20,0,2,3
48,0,30.49177777777778,6,2,20,0,3,3
49,0,119.86942307692304,6,6,20,0,3,3
50,0,15.653975903614455,-1,-1,-1,-1,3,6
51,0,442.22365384615364,294,15,20,0,2,1
52,0,14.275961538461543,15,13,11,0,3,7
53,0,55.70490196078431,1,1,20,0,2,3
54,0,83044.0975,-1,-1,-1,-1,-1,-1
55,0,53.42322033898305,5,7,20,1,3,6
56,0,877.6053164556963,19,2,20,0,3,1
57,0,88.62452631578947,-1,-1,-1,-1,-1,-1
58,0,148.3127450980392,27,28,20,0,-1,-1
59,0,103.64117647058828,9,3,20,0,1,2
60,0,2812.4718269230775,27,28,20,0,3,1
61,0,15340.924895833336,27,28,20,0,3,1
62,0,21.31682692307693,-1,-1,-1,-1,-1,-1
63,0,250.68648648648653,6,7,19,0,4,7
64,0,185.44240000000002,1,1,20,0,4,2
65,0,632.2729629629629,33,42,20,0,1,3
66,0,664.331967213115,1,1,5,0,-1,-1
67,0,109.01798076923083,-1,-1,-1,-1,7,3
68,0,259.4242307692307,294,43,19,0,2,6
69,0,422.5365384615387,-1,-1,-1,-1,-1,-1
70,0,1278.867471264368,294,43,20,0,2,7
71,0,9331.706551724139,294,3,20,0,3,4
72,0,2842.1082499999998,294,43,20,0,3,3
73,0,183.19432692307697,294,43,19,0,2,5
74,0,232.99561643835617,294,3,20,0,2,6
75,0,518.8732812499999,294,5,20,0,2,3
76,0,514.1114473684212,294,49,20,0,2,3
77,0,1641.2896629213483,1,11,19,0,1,3
78,0,861.0633333333332,58,11,9,0,1,3
79,0,200.56321428571422,19,23,20,0,-1,-1
80,0,41.73273684210526,3,4,20,0,1,3
81,0,514.2508536585368,5,2,20,0,5,2
82,0,675.3784,2,2,20,1,3,2
83,1,611.8353398058252,-1,-1,-1,-1,4,5
84,0,32.85028169014084,1,2,20,0,3,8
85,0,216.63634615384612,228,6,20,0,-1,-1
86,0,2929.571052631578,269,11,20,1,-1,-1
87,0,10.290865384615383,1,1,20,0,2,1
88,0,1721.1314285714286,-1,-1,-1,-1,-1,-1
89,0,453.3128,3,3,20,0,3,1
90,0,278.74877551020404,1,1,19,1,4,3
91,0,31.136923076923065,-1,-1,-1,-1,-1,-1
92,0,19.225288461538447,-1,-1,-1,-1,-1,-1
93,0,5786.882,6,8,13,1,-1,-1
94,0,404.6606818181819,12,18,20,1,2,7
95,0,465.1115151515152,12,18,20,1,2,8
96,0,63.97114285714285,13,13,20,1,3,3
97,0,1514.008539325842,1,1,20,0,3,1
98,0,509.19666666666643,74,1,19,0,5,3
99,0,153.22192307692313,4,7,19,0,3,8
100,0,73.21745454545454,26,27,19,0,-1,-1
101,0,329.1179807692307,-1,-1,-1,-1,-1,-1
102,0,659.0894117647058,-1,-1,-1,-1,-1,-1
103,0,1352.0955072463764,44,17,19,0,2,3
104,0,746.0871910112357,44,1,19,0,2,3
105,0,621.6078873239437,1,11,20,0,3,1
106,0,483.2706097560976,5,6,20,0,4,4
107,0,1720.43,-1,-1,-1,-1,-1,-1
108,0,1171.2422222222222,-1,-1,-1,-1,-1,-1
109,0,447.31028846153856,44,3,20,0,1,3
110,0,2529.3366666666666,-1,-1,-1,-1,1,3
111,0,2202.531296296296,3,5,20,0,2,1
112,0,200.20021276595745,216,2,20,0,2,6
113,0,1633.6059493670894,1,1,20,0,3,2
114,0,583.4477777777778,1,1,13,0,5,1
115,0,1365.7224999999996,1,14,19,0,1,2
116,0,131.6319642857143,7,5,20,0,3,8
117,0,144.49276595744678,1,1,20,0,5,8
118,0,711.0232876712329,1,1,20,1,2,3
119,0,22.588653846153854,216,2,18,0,1,3
120,0,1324.9463541666664,8,6,20,0,1,6
121,0,419.4253703703701,6,1,20,0,2,5
122,0,10.328225806451613,6,6,20,0,3,3
123,0,3017.897647058824,-1,-1,-1,-1,-1,-1
124,0,13917.746956521738,2,2,20,0,6,3
125,0,1735.1080000000002,-1,-1,-1,-1,-1,-1
126,0,383.15514285714283,1,1,20,1,3,2
127,0,4063.4260869565214,4,8,20,0,2,1
128,0,210.4113725490196,1,2,20,0,4,2
129,0,25.977600000000002,-1,-1,-1,-1,2,1
130,0,10.654716981132076,2,2,17,0,-1,-1
131,0,1013.1321126760564,1,1,18,0,-1,-1
132,0,648.4968965517241,4,1,20,0,-1,-1
133,0,361.64986842105264,-1,-1,-1,-1,4,1
134,0,83.87436781609195,1,1,20,0,3,2
135,0,35.462839506172834,9,2,19,1,2,3
136,0,358.8188636363637,87,16,20,0,2,4
137,0,68.45868852459017,1,1,20,0,3,1
138,0,1043.8899999999999,-1,-1,-1,-1,-1,-1
139,0,455.3136363636364,-1,-1,-1,-1,3,5
140,0,4153.397037037036,6,12,5,0,1,3
141,0,651.7877966101697,6,12,20,1,3,4
142,0,292.9973684210524,-1,-1,-1,-1,-1,-1
143,0,151.07558139534885,20,6,17,0,2,6
144,0,52.77711864406779,4,5,20,0,5,3
145,0,9451.210490196083,53,28,20,0,2,3
146,0,13304.115,53,28,20,0,2,3
147,0,1835.1084415584417,53,4,20,0,-1,-1
148,0,425.1885294117645,5100,2,4,0,-1,-1
149,0,63.48410958904108,3,4,20,0,4,1
150,0,12.423942307692304,8,12,20,0,3,5
151,0,28.09721153846154,1,2,20,0,3,7
152,0,6408.197349397589,294,2,20,1,3,5
153,0,426.12942307692305,1,1,19,0,2,1
154,0,361.8308433734939,100,4,20,0,4,5
155,0,42.01680412371135,-1,-1,-1,-1,3,9
156,0,43.35669999999999,-1,-1,-1,-1,3,8
157,0,96.71849999999999,-1,-1,-1,-1,-1,-1
158,0,106.67788461538467,25,1,20,0,2,5
159,0,138.04480769230767,44,2,20,0,-1,-1
160,0,889.5411320754719,-1,-1,-1,-1,-1,-1
161,0,1542.288823529412,-1,-1,-1,-1,2,3
162,0,576.0264705882355,2,2,14,0,-1,-1
163,0,849.7178787878786,-1,-1,-1,-1,-1,-1
164,0,75.85849999999999,1,1,20,1,4,3
165,0,250.27442307692303,16,4,20,0,1,8
166,0,215.84434210526314,-1,-1,-1,-1,2,5
167,0,569.7051923076923,142,28,20,0,1,8
168,0,440.8445,142,28,20,0,1,5
169,0,4138.872656250001,16,9,20,0,2,5
170,0,210.12454545454548,142,45,20,0,1,6
171,0,541.3944230769231,142,45,20,0,2,3
172,0,574.1187499999999,16,1,20,0,1,4
173,0,504.79375,142,33,20,0,1,3
174,0,974.9266346153847,142,28,20,0,1,5
175,0,182.8041095890411,2,17,20,0,5,1
176,0,40.3546511627907,45,23,20,0,2,3
177,0,326.0716666666667,45,23,20,0,2,3
178,0,1545.191333333333,45,23,20,0,2,3
179,0,365.2604545454546,6,8,11,0,4,2
180,0,183.22367647058823,1,4,20,1,3,2
181,0,2.4685714285714284,2,2,20,0,3,3
182,0,6.740192307692308,1,1,14,0,6,2
183,0,647.5415841584156,5,6,20,1,5,4
184,0,45.23117647058823,3,4,20,0,3,1
185,0,67.83302083333334,22,1,20,0,2,1
186,0,654.8195744680851,1,1,6,1,2,4
187,0,31.325000000000003,13,1,20,0,3,7
188,0,369.1874468085106,2,1,20,0,3,6
189,0,875.1214814814813,1,1,8,0,4,1
190,0,87.32797619047622,294,4,20,0,1,8
191,0,1147.0232258064518,-1,-1,-1,-1,-1,-1
192,0,1225.7850980392159,2,4,20,0,2,7
193,0,177.28181818181818,-1,-1,-1,-1,-1,-1
194,0,9575.062328767126,269,35,20,0,2,6
195,0,9676.417999999998,6,6,20,0,7,6
196,0,170.4910416666667,2,2,20,0,3,2
197,0,58.23000000000001,50,5,20,0,-1,-1
198,0,123.50499999999998,1,1,20,1,2,3
199,0,57.02348837209303,2,2,9,0,3,1
200,0,2205.125555555556,-1,-1,-1,-1,1,1
201,0,244.79432692307677,-1,-1,-1,-1,-1,-1
202,0,1503.6270526315786,85,59,20,0,1,3
203,0,171.70038461538462,216,18,20,0,-1,-1
204,0,4582.259677419354,85,59,20,0,1,3
205,0,6244.103157894738,18,20,20,0,6,3
206,0,7.775777777777777,4,3,19,0,2,1
207,0,2439.383,36,3,9,0,4,3
208,0,241.7192307692309,-1,-1,-1,-1,4,1
209,0,107.89426966292135,2,2,20,0,3,1
210,0,1340.0016666666666,-1,-1,-1,-1,-1,-1
211,0,53.35460674157303,7,9,19,0,5,5
212,0,52.0257425742574,1,4,20,0,3,2
213,0,527.9300000000001,-1,-1,-1,-1,-1,-1
214,0,617.6481818181816,8,19,20,0,1,2
215,0,15511.606153846156,33,42,20,0,-1,-1
216,0,1802.4598717948718,-1,-1,-1,-1,-1,-1
217,0,741.2084615384613,-1,-1,-1,-1,1,3
218,0,308644.83884615387,33,1,20,0,2,3
219,0,8755.103557692306,33,42,20,1,-1,-1
220,0,449.2521590909091,1,3,20,0,4,2
221,0,2131.9500000000003,-1,-1,-1,-1,-1,-1
222,0,258.039375,142,1,20,0,1,4
223,0,30.767125000000004,2,3,20,0,3,6
224,0,18.650333333333325,74,15,6,0,2,1
225,0,879.0822580645162,-1,-1,-1,-1,-1,-1
226,0,878.05835443038,2,5,20,0,8,2
227,0,119.30685714285717,1,4,20,0,4,6
228,0,2600.8456363636365,12,23,20,0,4,3
229,0,4381.051250000001,269,140,19,0,4,3
230,0,19651.236666666668,-1,-1,-1,-1,3,3
231,0,1480.4703076923076,4,19,14,0,3,2
232,0,912.001551724138,2,2,20,0,3,3
233,0,149.5802105263158,1,1,20,0,3,1
234,0,246.99775,1,14,20,0,3,8
235,0,89.42096153846157,44,7,19,0,1,3
236,0,155.63124999999997,-1,-1,-1,-1,-1,-1
237,0,1036.001333333333,1,1,20,0,2,3
238,0,93.38888888888887,3,2,5,0,6,1
239,0,718.548888888889,-1,-1,-1,-1,3,3
240,0,146415.71666666667,7,22,20,0,1,5
241,0,1603.8542857142854,5,6,19,0,-1,-1
242,0,2221.4590140845066,5,6,20,0,-1,-1
243,0,10374.056779661016,1,2,20,0,-1,-1
244,0,2018.7473529411766,1,1,20,0,-1,-1
245,0,756.644807692308,17,18,19,0,5,5
246,0,354.4335164835166,8,17,20,0,-1,-1
247,0,609.0985714285715,-1,-1,-1,-1,-1,-1
248,0,1944.54,-1,-1,-1,-1,-1,-1
249,0,298.2014285714285,-1,-1,-1,-1,-1,-1
250,0,4747.835,-1,-1,-1,-1,-1,-1
251,0,20.555333333333337,-1,-1,-1,-1,-1,-1
252,0,69.31646153846155,-1,-1,-1,-1,3,3
253,0,636.8759999999999,-1,-1,-1,-1,3,1
254,0,13.694374999999999,2,2,20,0,1,3
255,0,2048.246896551724,71,24,20,0,-1,-1
256,0,99.67623762376239,-1,-1,-1,-1,-1,-1
257,0,5582.0975,71,24,20,0,1,4
258,0,2104.6797368421053,156,79,20,0,1,4
259,0,425.9859740259741,156,8,20,0,-1,-1
260,0,1063.075769230769,156,10,20,0,4,4
261,0,1819.24,-1,-1,-1,-1,-1,-1
262,0,706.6596666666667,-1,-1,-1,-1,1,4
263,0,46.319799999999994,5,5,20,0,2,2
264,0,266.24280487804873,-1,-1,-1,-1,-1,-1
265,0,361.451525423729,23,3,20,0,1,5
266,0,337.2327272727273,23,30,20,0,1,3
267,0,303.57629032258075,23,3,20,0,1,5
268,0,44.78875,-1,-1,-1,-1,-1,-1
269,0,606.843137254902,5,4,20,0,6,1
270,0,2572.2473333333323,2,3,20,0,3,7
271,0,243.70890625000007,171,2,20,0,3,4
272,0,204.2551724137931,171,5,20,0,3,3
273,0,225.45098039215685,-1,-1,-1,-1,3,5
274,0,53.788072289156624,1,1,20,0,4,6
275,0,344.50236842105267,1,1,20,0,3,3
276,0,1199.3208333333332,2,3,20,0,3,4
277,0,166.91634615384618,33,42,20,0,1,3
278,0,684.4822115384616,33,42,20,1,1,3
279,0,356.08649122807026,2,3,20,0,3,3
280,0,8017.87156862745,27,28,20,0,3,3
281,0,60.1803703703704,4,7,16,0,3,2
282,0,1752.7451020408166,1,2,20,0,2,5
283,0,475.47354838709674,3,1,20,0,5,1
284,0,193.71551724137933,90,21,20,0,1,4
285,0,197.02,116,5,20,0,2,4
286,0,117.16019230769226,44,2,20,0,1,3
287,0,106.48201923076923,44,1,20,0,1,4
288,0,20750.292631578945,13,23,20,0,1,4
289,0,72.25732394366197,-1,-1,-1,-1,-1,-1
290,0,38.597821782178215,42,1,20,0,3,2
291,0,1375.448181818182,-1,-1,-1,-1,5,1
292,0,87.39389830508475,2,1,20,0,3,8
293,0,1228.419814814815,3,4,20,0,3,1
294,0,1979.5460784313727,21,3,20,0,2,1
295,0,102.54971153846158,5,7,14,0,2,2
296,0,512.7592,19,23,20,0,4,3
297,0,13.076250000000003,-1,-1,-1,-1,-1,-1
298,0,102.61910112359551,17,14,18,0,3,4
299,0,61.1871844660194,74,39,20,0,2,7
300,0,254.0094871794871,4,19,20,0,2,1
301,0,787.0888888888888,171,6,18,0,1,3
302,0,75035.40647058825,1,1,20,0,3,6
303,0,39.754423076923075,1,3,20,0,2,7
304,0,64.49269230769231,228,5,18,0,1,1
305,0,467.6964044943819,6,1,19,0,2,1
306,0,1134.654727272727,5,5,18,0,2,5
307,0,21.170327868852464,1,1,20,0,2,3
308,0,126.35056338028173,1,120,20,0,1,3
309,0,1702.42125,87,120,20,0,1,3
310,0,256.5446,14,4,13,0,3,3
311,0,548.4525714285714,1,1,19,0,1,5
312,0,914.9662500000001,29,13,13,0,1,3
313,0,803.7249056603772,1,2,20,0,6,1
314,0,507.99705882352936,-1,-1,-1,-1,1,2
315,0,50.73557692307691,1,2,20,0,2,1
316,0,1400.4500000000003,-1,-1,-1,-1,2,1
317,0,1054.927777777778,-1,-1,-1,-1,1,1
318,0,948.1592079207919,71,17,20,0,2,5
319,0,1135.499230769231,71,17,19,0,1,3
320,0,30.991200000000006,1,2,20,1,1,4
321,0,7771.396545454547,-1,-1,-1,-1,-1,-1
322,0,1311.3418749999998,-1,-1,-1,-1,-1,-1
323,0,155.8021568627451,116,10,20,0,2,5
324,0,855.188048780488,1,1,20,0,3,3
325,0,84.47244897959186,2,3,18,0,4,1
326,0,2238.0316326530615,15,26,20,0,3,5
327,0,8629.528666666665,15,26,20,1,3,5
328,0,75.5213333333333,3,3,20,1,4,5
329,0,453731.9363461537,33,42,20,0,1,3
330,0,16302.44761904762,-1,-1,-1,-1,3,5
331,0,54.49714285714287,-1,-1,-1,-1,3,2
332,0,34.25492307692307,100,1,20,0,3,6
333,0,216.73817307692318,44,6,20,0,1,4
334,0,665.2188461538461,44,6,20,0,1,3
335,0,1117.4444444444443,-1,-1,-1,-1,3,5
336,0,1186.4087096774192,116,129,20,0,3,6
337,0,15.060444444444443,25,1,20,0,2,2
338,0,348.3346575342466,20,2,20,0,2,3
339,0,22.86307692307692,116,9,18,0,3,7
340,0,56.48826923076923,71,22,20,0,1,5
341,0,655.6124038461538,15,21,20,0,4,7
342,0,771.0334482758622,15,21,20,0,5,3
343,0,184.91551724137935,216,29,20,1,-1,-1
344,0,257.0759183673469,72,19,17,1,2,6
345,0,83.30778846153848,4,4,20,0,3,3
346,0,95.93421052631581,42,3,20,0,4,7
347,0,4548.859589041098,19,21,20,0,-1,-1
348,0,28667.72,-1,-1,-1,-1,-1,-1
349,0,41.22490384615384,1,3,20,0,3,1
350,0,15599.735999999999,-1,-1,-1,-1,-1,-1
351,0,319.4291071428571,-1,-1,-1,-1,-1,-1
352,0,406.8427586206896,171,13,20,0,3,3
353,0,24.73325842696629,156,10,20,0,2,3
354,0,146.5878181818182,1,3,19,0,1,5
355,0,1800.2086250000004,-1,-1,-1,-1,-1,-1
356,0,761.7464285714284,1,2,20,0,3,2
357,0,4875.548309859154,16,28,20,0,1,4
358,0,473.63880434782607,3,14,20,0,6,1
359,0,53.82218750000001,-1,-1,-1,-1,5,3
360,0,1762.836764705882,1,1,20,0,5,1
361,0,44.32707865168539,15,2,20,0,1,3
362,0,733.9440963855423,216,29,20,1,-1,-1
363,0,127.62937500000002,-1,-1,-1,-1,5,4
364,0,443.5045192307694,-1,-1,-1,-1,-1,-1
365,0,1215.080754716981,216,29,20,1,-1,-1
366,0,1355.430563380281,100,4,20,0,3,5
367,0,20.479230769230764,2,6,19,0,3,3
368,0,788.2371153846154,1,1,11,1,4,6
369,0,24.339710144927537,1,1,20,0,4,1
370,0,29.241770833333337,61,76,20,0,2,2
371,0,11405.950102040822,61,76,20,0,2,3
372,0,9517.014526315786,269,140,19,1,2,3
373,0,386.228947368421,2,2,20,0,4,5
374,0,20.87177083333334,-1,-1,-1,-1,-1,-1
375,0,52.70374999999998,44,1,20,0,-1,-1
376,0,54.18048076923076,44,2,18,0,1,3
377,0,86.12855769230768,44,1,20,0,1,3
378,0,226.64499999999998,29,13,14,0,3,3
379,0,98.02928571428573,29,13,14,0,3,3
380,0,178.77338028169015,29,13,14,0,3,3
381,0,320.5391228070176,29,13,14,0,3,3
382,0,624.2011627906976,29,13,14,0,3,3
383,0,1026.993870967742,29,13,14,0,3,3
384,0,2316.9725,29,13,14,0,3,3
385,0,32.175999999999995,3,4,20,0,3,5
386,0,63.49099999999998,1,1,20,0,1,8
387,0,322.56067796610165,228,33,20,0,-1,-1
388,0,599.3778260869564,228,33,20,0,-1,-1
389,0,356.77011494252866,228,33,20,0,1,6
390,0,731.4381034482757,228,33,20,0,1,6
391,0,397.24129870129866,228,33,20,0,1,3
392,0,7951.792823529407,228,33,20,1,2,2
393,0,1312.341860465116,228,33,20,0,1,1
394,0,1461.2749019607843,2,2,20,0,3,4
395,0,101.12288461538462,42,5,20,0,-1,-1
396,0,176.19658227848097,42,5,20,0,1,2
397,0,541.8518987341771,3,26,20,0,-1,-1
398,0,7920.0724590163945,1,1,19,1,5,3
399,0,244.1588333333333,26,4,20,0,5,5
400,0,37708.861428571436,100,2,4,1,5,2
401,0,117.08798076923077,-1,-1,-1,-1,-1,-1
402,0,120.67634615384614,71,23,20,0,1,3
403,0,126.28221153846154,71,23,20,0,1,3
404,0,552.9270192307692,-1,-1,-1,-1,-1,-1
405,0,22964.383281249997,71,23,20,0,1,3
406,0,8480.00090909091,71,23,20,0,1,3
407,0,1980.7461702127662,71,23,20,0,3,6
408,0,3991.109615384618,71,35,20,0,2,5
409,0,525.5686538461539,-1,-1,-1,-1,-1,-1
410,0,55.30721153846155,294,3,20,0,1,3
411,0,109.4935576923077,294,5,20,0,2,3
412,0,1145.7894871794872,294,5,20,0,2,3
413,0,4351.589142857143,294,5,20,0,2,3
414,0,1076.206,294,4,20,0,2,3
415,0,517.9193333333336,294,49,20,0,2,3
416,0,1435.734141414142,294,5,20,0,2,3
417,0,97.4363157894737,-1,-1,-1,-1,-1,-1
418,0,100.44255813953485,45,4,17,0,3,1
419,0,1099.5797297297295,6,10,20,0,3,6
420,0,1272.3769620253163,87,27,20,1,1,4
421,0,3498.1225,87,27,20,1,1,4
